From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,RF
01-01-2019 00:00,01-01-2019 01:00,144,201.25,3.2,15.95,11.08,6.43,13.73,7.87,18.6,30.4,81,0.65,336.25,23,766.25,26.07,0
01-01-2019 01:00,01-01-2019 02:00,126.5,177.75,2.93,8.48,6.87,5.88,5.73,7.49,33.38,30.4,80.75,0.85,283.25,23,765.25,25.63,0
01-01-2019 02:00,01-01-2019 03:00,73.5,112.25,2.75,3.57,4.12,5.4,10.12,7.46,52.27,30.4,75.75,0.8,297.75,23,765,25.73,0
01-01-2019 03:00,01-01-2019 04:00,42.75,75,2.63,1.03,2.53,5.7,9.9,7.45,72.08,30.4,73,1.2,309,23,765,25.68,0
01-01-2019 04:00,01-01-2019 05:00,36,60,2.47,None,1.58,4.33,12.85,7.7,93.95,30.4,69.75,1,309.5,23,765,25.65,0
01-01-2019 05:00,01-01-2019 06:00,40.75,60.5,2.8,0.4,2.22,4.57,21.97,8.35,77.8,30.4,74,1,284.75,23,765.25,24.97,0
01-01-2019 06:00,01-01-2019 07:00,41.25,64.5,2.78,2.83,3.77,4.85,11.35,9.04,59.15,30.4,75.75,0.6,273.25,24.75,766.75,24.72,0
01-01-2019 07:00,01-01-2019 08:00,49,79,2.55,7.47,6.02,5.4,14.55,9.71,50.2,30.37,74.25,0.9,286.75,102.5,768,25.33,0
01-01-2019 08:00,01-01-2019 09:00,60.5,98.25,2.85,5.15,5.05,5.35,19.93,9.84,85.65,30.4,63.75,1.33,298.75,266.25,769.75,27.6,0
01-01-2019 09:00,01-01-2019 10:00,59,93,2.35,2.03,3,5.43,16.72,7.39,103,30.55,59.75,1.68,304.75,424.5,770,28.75,0
01-01-2019 10:00,01-01-2019 11:00,47.5,76.75,2.83,1.15,2.65,5.27,11.83,7.4,117.02,30.6,54.5,1.3,261.25,573,769.5,30.25,0
01-01-2019 11:00,01-01-2019 12:00,41.25,72,3,1.8,3.4,5.17,11.3,7.31,123.98,30.82,51.25,1.4,227.25,658.25,768.5,31.25,0
01-01-2019 12:00,01-01-2019 13:00,41.75,70.75,2.97,1.65,3.23,5.4,19.6,3.79,126.75,31.17,52.5,1.95,182.5,616.5,766.5,31.35,0
01-01-2019 13:00,01-01-2019 14:00,35.5,76.25,2.65,4.67,4.65,5.8,11.83,0.4,131.1,31.32,56.5,3.32,134.25,645.5,764.75,30.37,0
01-01-2019 14:00,01-01-2019 15:00,45.25,76.5,2.78,3.87,4.32,5.5,10.22,0.46,124.37,31.35,58.5,3.05,131.25,569.5,763.5,30.18,0
01-01-2019 15:00,01-01-2019 16:00,42.25,73.25,2.98,4.38,4.75,5.45,12.13,0.14,119.53,31.15,58.75,2.73,156.75,429.25,763,30.15,0
01-01-2019 16:00,01-01-2019 17:00,39.5,69.75,3.22,6.6,6.07,4.9,13.95,0,122.58,30.73,59.5,2.27,140.75,241.75,763,29.95,0
01-01-2019 17:00,01-01-2019 18:00,41,78.5,2.67,10.55,7.75,5,17.72,0,104.75,30.55,62.25,1.92,116.75,84,763.75,29.22,0
01-01-2019 18:00,01-01-2019 19:00,54.5,95,4.28,20.02,14.1,4.78,18.12,0,88.62,30.42,65.25,1.1,123.5,22.25,765,28.53,0
01-01-2019 19:00,01-01-2019 20:00,60.75,104.25,1.15,29.53,15.25,5,16.73,0.05,51.57,30.35,66.75,0.7,136.75,22,765.75,28.12,0
01-01-2019 20:00,01-01-2019 21:00,68.5,116.5,2.67,28.23,17.22,5.12,3.83,0.03,37.65,30.32,69.5,0.45,137,22.25,766.75,27.65,0
01-01-2019 21:00,01-01-2019 22:00,78.75,126.75,2.8,19.88,12.85,6.02,10.8,0,35.08,30.37,73.75,0.4,143,22.75,767.25,26.85,0
01-01-2019 22:00,01-01-2019 23:00,88.25,135,2.82,15.85,10.72,6.02,9.77,0,39.25,30.3,75.5,0.43,188.75,22.5,767.5,26.38,0
01-01-2019 23:00,02-01-2019 00:00,89,131.25,3.05,12.72,9.22,5.83,5.27,0,37.55,30.3,77,0.45,357,23,767,25.88,0
02-01-2019 00:00,02-01-2019 01:00,78.5,115.25,3.02,6.57,5.95,5.8,7.15,0,44.12,30.3,77,0.5,355.75,23,765.5,25.45,0
02-01-2019 01:00,02-01-2019 02:00,74.25,100.75,2.72,5.05,4.88,5.83,15.55,0,45.47,30.27,77.5,0.6,351,23,764.75,25.1,0
02-01-2019 02:00,02-01-2019 03:00,73.25,97.75,2.65,3.78,4.15,5.8,36.12,0,46.28,30.25,78.75,0.57,347,23,763.75,24.65,0
02-01-2019 03:00,02-01-2019 04:00,66,87.75,2.62,1.58,2.98,6.57,21.33,0,57.95,30.32,79.25,0.53,296,23,763.25,24.23,0
02-01-2019 04:00,02-01-2019 05:00,57.5,74.75,2.73,0.4,2.45,4.98,11.18,0,58.07,30.3,78.25,0.75,296.25,23,763.5,24,0
02-01-2019 05:00,02-01-2019 06:00,47.5,64.5,2.75,0.83,2.7,5,8.15,0,57.42,30.27,77.75,0.55,265.75,23,764.25,23.7,0
02-01-2019 06:00,02-01-2019 07:00,43.25,65,2.62,4.05,4.27,5.2,7.95,0,45.15,30.23,78.5,0.7,260.5,24.25,765.75,23.4,0
02-01-2019 07:00,02-01-2019 08:00,56.75,78,2.58,8.42,6.6,5.5,8.28,0,44.17,30.25,74.25,0.65,263.5,109.25,767,24.4,0
02-01-2019 08:00,02-01-2019 09:00,66.5,99.5,2.6,5.92,5.25,5.77,27.92,0,78.23,30.3,63.75,1.43,306.5,276.75,768.75,26.6,0
02-01-2019 09:00,02-01-2019 10:00,59.25,98.75,3.02,2.28,3.68,5.65,16.88,0,101.62,30.4,58,1.68,300.75,447.5,769,28.23,0
02-01-2019 10:00,02-01-2019 11:00,50.75,86.25,2.9,2.1,3.5,5.57,8.35,0,112.05,30.53,54.5,1.43,180,592,769.5,29.75,0
02-01-2019 11:00,02-01-2019 12:00,47.25,70.25,2.63,1,2.65,5.75,7.02,0,125.45,30.73,51.5,1.3,277.5,664.5,768.75,30.75,0
02-01-2019 12:00,02-01-2019 13:00,38.5,74.25,2.98,4.18,4.62,5.62,6.85,0,134.75,31.12,52,1.95,165.75,681,767.5,31.18,0
02-01-2019 13:00,02-01-2019 14:00,36.75,76,2.62,6.65,5.65,5.65,8.88,0,128.05,31.37,54.5,2.7,148.25,655.5,765.75,30.72,0
02-01-2019 14:00,02-01-2019 15:00,36,77.75,2.48,5.5,4.95,5.67,7.43,None,129.57,31.32,55.5,2.95,156.5,575.75,765,30.53,0
